"","ADL","AFD","AIM","AIN","AIY","ASEL","ASER","ASG","ASI","ASK","AVA","AVE","AVG","AVH","AVK","AVL","AVM","AWA","AWB","AWC","BAG","CAN","DA","DD","DVC","I5","IL1","IL2","LUA","NSM","OLL","OLQ","PHA","PVC","PVD","PVM","RIA","RIC","RIM","RIS","RMD","SMB","SMD","VB","VC","VD"
"lgc-31 V_-_15513339_15513464_15513641_15513736",0.726510496671787,0.893177163338454,1.76817716333845,0.889389284550575,1.76817716333845,0.893177163338454,0.893177163338454,0.893177163338454,0.893177163338454,0.893177163338454,0.893177163338454,1.73114012630142,1.76817716333845,0.677268072429363,1.68324893367338,0.837621607782898,-37.3390994995168,1.73154712670842,0.893177163338454,1.76817716333845,0.893177163338454,1.76817716333845,1.75220461090497,1.6938716077829,0.893177163338454,0.837621607782898,0.834353633926689,0.517114998758847,0.893177163338454,0.893177163338454,0.856591797484795,0.893177163338454,1.75151049667179,1.74151049667179,0.493177163338454,-16.3980408847354,0.742672112833403,1.76817716333845,1.74032989759922,0.893177163338454,1.73181352697482,1.76613634701192,1.71373465462765,1.73878781158068,0.678891449052739,1.75654925636171
"unc-103 III_+_4143185_4143941_4144172_4144577",4.42352761066009,4.07528261994672,4.44190890853615,4.46798655961679,3.14564670731836,3.60545898505209,3.82584427513822,3.69363281007224,3.24991617264582,4.94612220036474,2.24761287459191,2.09488171911272,4.43770158290321,3.04656146190495,-1.35866301173979,-31.6228767167539,-25.0379723513318,4.51695202162174,3.20619583528233,3.65827799297785,3.31428851690794,-0.928042480026754,2.88872982093276,-6.87989247552032,4.82770128516294,3.66686937948322,3.03871857621004,-20.1865731309877,0.961374296932152,2.01633685947969,3.22967771103986,3.20720173302132,2.63466675849868,0.744713880989001,3.53376619651379,-24.6895759374408,4.18856061423572,4.41797902807145,4.30922494965061,2.76963353685048,2.72738636119746,-10.4993956012281,4.18863401193698,3.98745633948401,4.07139867318961,-6.60483716250448
"mig-6 V_+_7832371_7832445_7832658_7832979",1.16986224071177,0.841884142734953,0.928144411235409,0.810027495117436,1.4297117746716,0.847318116031609,0.790327366178176,0.896364011622289,0.709483743708769,0,1.52281233429474,0.826232834978382,1.26568064677549,-0.395341324216651,1.7400838336787,0,0.811211798324773,0.741122404473215,0.952342272491854,-0.152792099152166,0.846554472405282,-30.2701716484566,0.348186043800411,-0.857893342196466,0,0.834999463362357,-0.562267639829682,0.608319178287635,0.922677018328589,1.751998244888,-0.410828547423614,-0.180792141139261,0.597185461366541,0.131783877015973,0,0.788580334474248,1.36421810916342,0.981479565283807,0.890106702035945,1.80928721068152,0.968018437014924,0.761211565286961,0.809062363138589,0.131890084355229,0.924192383730749,1.07772680076512
"Y64G10A.7 IV_+_14309513_14309906_14310032_14311583",2.6904324865194,2.7404324865194,1.48905482771876,0.999348945365815,-0.974416874486917,1.34885180782433,1.9904324865194,2.7404324865194,2.32595880230887,2.7404324865194,1.96601561203248,2.7404324865194,2.7404324865194,0.791015612032481,2.7404324865194,-25.9400648860565,2.35581710190401,2.7404324865194,2.7404324865194,2.2404324865194,2.7404324865194,0.34419088599643,-1.10583934090938,-29.4767666234666,2.15995500597188,1.29958204559891,10.9231465941463,2.09934894536581,2.18709915318606,1.84885180782433,2.44115186869048,2.79206041237398,1.51786746388433,1.24293868895556,3.20958336252511,-0.724416874486917,2.7404324865194,1.2404324865194,0.766015612032481,2.1404324865194,3.4347889951607,1.68268227869915,1.19550279151966,-0.974416874486917,-0.899781014654994,-28.0316134303607
"clp-1 III_+_7985175_7985342_7985351_7985663",6.20109227113399,8.30763501772294,-0.216711818149542,3.77936715047684,0,7.67895968740655,7.54865445233853,9.40296750985521,2.35173736271743,6.24697442182091,-11.3208204241863,-14.1368350600299,-25.4407140092698,-7.15053185548028,1.87352413467963,6.50021549896321,7.33179258018271,6.02058025265641,3.92225487835312,-0.154920765650921,3.80441024540949,-0.462846130186752,3.65235046995083,0.981749218065173,-16.6624005574706,-1.01613187965562,3.75849483049929,8.97920979051949,-10.2800535451434,0.256172905055138,-3.77199649221813,1.62668419705113,0.201305113456466,-3.62691797038275,-11.2241291832674,0.425452407088968,3.06604720602407,5.93792812892827,-15.3044710401383,-5.14753118931087,5.82326604323309,7.2758168742475,5.7875087879431,7.73338006927105,-13.8274997818718,3.26898019736188
"mct-4 X_-_4922088_4922706_4922841_4922928",0.644731838736199,2.90007101185338,1.10539853020923,1.00456483714938,0,0,2.14356978485872,2.07446808325003,0,1.90902181958898,2.0135560218687,2.03898298605528,3.02826650057519,1.07683031989503,0.60193154014548,2.78357675834439,3.20378464426082,0.658303624480095,0,1.47195814878723,3.01609697669791,-11.3805121730628,0.277598134051938,0.795185256178475,1.07584088121011,-5.67324585645962,2.97892871828903,1.22903514310047,-1.04202874499569,-24.1829856166059,0.169090916733723,-5.87221727417128,0.942419303580018,-1.90628824106074,1.4131589344599,0,0.624813387538879,1.62879486223365,1.3766303335255,0.675404800280809,2.03926081475905,2.13927206615575,2.0840722559028,0.58546176046176,0.984292733220124,-2.63709582208202
"rbf-1 III_+_6700586_6701098_6701350_6702169",4.81855956298458,0.128743768288542,3.51239881565332,4.0661672544558,4.57765761754244,-1.84996739326488,-15.2280656481191,-1.40294382552408,2.81376829446974,2.39587928934509,-5.91018681908372,1.07607378916569,2.66424928540627,4.34491954688369,3.96800901941486,0.467508126806626,-0.678845773898214,2.91771366826302,2.00391716386341,0.543299788486285,2.60598476053291,2.52958196537229,-2.43368830729219,0.0468952211022201,0,1.98750793584199,1.19193824188912,1.043806049575,0.499495030236403,1.05897977207168,-0.539282417368815,-0.437402312196839,1.43797823855858,-1.24539068412864,4.52951774734916,1.19136049060597,-0.99560299918531,0.808330149200765,0.711979808772082,3.3673553414242,3.84777438267703,-23.5471952420924,-4.76845016795404,-8.89506657549067,4.22848923243069,-3.45375119307051
"unc-13 I_+_7444151_7445011_7445020_7445375",-19.4089528601664,-19.9801649813785,6.25285279059647,5.96929696763372,8.46253558086999,-0.209055556761895,-19.1957437707092,-20.7094047474604,-2.10811589212547,-23.2258849925656,1.32063708847782,6.62788867332229,-4.84504380428337,11.5491966539093,4.60749866944911,11.35884250409,10.5663217213623,-18.6803738368505,0,1.34093586843983,-21.6569737172333,8.45215853837635,10.4085999679379,7.41592576172744,4.05287367615841,5.36082883483638,2.79726929851007,-11.4719464432936,5.92564809276955,-5.18586422807063,5.69080763817405,2.9829892437602,0.316219445206407,9.73882464953067,8.74094523028804,7.23954807671488,4.84692769545099,9.13684489068999,-18.2298810716644,7.23454508588731,-8.83241997237111,11.3154031802336,-8.74274866733146,12.175043438352,-0.07651488393787,10.6716801634484
"ptp-3 II_+_10984121_10984201_10984273_10984383",6.03405719046733,2.53914316568388,2.42596532518531,3.30406169544584,-0.122231309192667,5.36122533257013,3.83728931709559,4.37012714428539,3.00639303915698,2.82368285685422,-0.771080664351177,3.16685737744852,4.77209700447122,5.16781911401851,2.3820702986606,3.00241420093801,-7.93706957095795,1.25647103912115,1.54355535912678,3.51580829167705,2.09171390313797,2.62231509959111,4.17093451358001,-16.9254005374825,5.94108371492726,1.72760769315397,-18.8044150338147,-7.64953495896875,-3.29356257542376,3.55581898648843,3.01731280826966,1.34265214182791,1.28579504706087,-0.351001340605231,5.21849868272616,0,3.59930014593921,4.02123481200364,5.67773021438697,-3.57589035703058,6.4684225996861,-22.0016583018619,-20.5111549655771,2.06286672571556,3.90896327302547,-13.2782884984605
"K09F5.6 X_+_7724118_7724246_7724629_7725035",0.593650793650794,0.599603174603175,0.59655439411537,0.582667435445213,0.599603174603175,0,0.456746031746032,0.599603174603175,0.559232804232804,0.599603174603175,0.599603174603175,0.599603174603175,0,0.534161998132586,0.599603174603175,0,-22.001445394522,0.599603174603175,0,0.496683957956908,0.549603174603175,0,0.596999007936508,0.581452295419964,0.580175022110506,0.532936507936508,0.533906525573192,0.599603174603175,0.578769841269841,0,0.581746031746032,0.599603174603175,0.565296109385783,0.587838468720822,0.599603174603175,0,0.590350988880401,0.598775360033638,0.581746031746032,0.599603174603175,0.589319720417281,0.568943054581353,0.599603174603175,0.599603174603175,0.593534080298786,0.575911314138058
